Topic,Word,POS,IPA,Pinyin,Meaning,Example,Translation,ImageURL
"Cảm xúc, cảm giác",Tense,adj,/tens/,jǐn zhāng,Căng thẳng,Everyone feels tense before the exam.,Ai cũng căng thẳng trước kỳ thi.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345809/Tense_wqfmsh.png
"Cảm xúc, cảm giác",Tired,adj,/ˈtaɪəd/ - /ˈtaɪərd/,lèi,Mệt mỏi,She looks tired after work.,Cô ấy trông mệt mỏi sau giờ làm.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345813/Tired_vvmtsk.png
"Cảm xúc, cảm giác",Bored,v,/bɔːd/ - /bɔːrd/,wú liáo,Chán nản,I’m bored with this movie.,Tôi chán bộ phim này rồi.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345778/Bored_j2nant.png
Tính cách,Reliable,adj,/rɪˈlaɪəbəl/,kě kào,Đáng tin cậy,She is a reliable friend.,Cô ấy là một người bạn đáng tin cậy.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345909/Reliable_hxarx5.png
Tính cách,Rude,adj,/ruːd/,wú lǐ,Thô lỗ,It’s rude to interrupt others.,Thật thô lỗ khi ngắt lời người khác.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345915/Rude_kdvp9o.png
Tính cách,Selfish,adj,/ˈsɛlfɪʃ/,zì sī,Ích kỷ,"Don’t be selfish, share with your friends.","Đừng ích kỷ, hãy chia sẻ với bạn bè.",https://res.cloudinary.com/djtpwtahg/image/upload/v1759345918/Selfish_mrg2aw.png
Tính cách,Sensitive,adj,/ˈsɛnsɪtɪv/,mǐn gǎn,Nhạy cảm,He is very sensitive to criticism.,Anh ấy rất nhạy cảm với lời chỉ trích.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345920/Sensitive_soqhu6.png
Tính cách,Stubborn,adj,/ˈstʌb.ərn/,gù zhí,Bướng bỉnh,The child is stubborn and won’t listen.,Đứa trẻ bướng bỉnh và không chịu nghe lời.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345943/Stubborn_e3vwjg.png
Tính cách,Patient,adj,/ˈpeɪʃənt/,yǒu nài xīn,Kiên nhẫn,You must be patient with small children.,Bạn phải kiên nhẫn với trẻ nhỏ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345901/Patient_fswwfc.png
Tính cách,Humorous,adj,/ˈhjuː.mər.əs/,yōu mò,Hài hước,He has a humorous personality.,Anh ấy có tính cách hài hước.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345880/Humorous_caka6c.png
Tính cách,Sincere,adj,/sɪnˈsɪr/,zhēn chéng,Chân thành,She gave a sincere apology.,Cô ấy đã xin lỗi một cách chân thành.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345931/Sincere_arnvgb.png
Tính cách,Generous,adj,/ˈʤɛnərəs/,dà fāng,Hào phóng,My grandfather is very generous.,Ông tôi rất hào phóng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345870/Generous_a4e3xf.png
Tính cách,Honest,adj,/ˈɒn.ɪst/,chéng shí,Trung thực,I like people who are honest.,Tôi thích những người trung thực.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345875/Honest_amxben.png
Tính cách,Kind,adj,/kaɪnd/,shàn liáng,"Tử tế, tốt bụng",She is always kind to everyone.,Cô ấy luôn tốt bụng với mọi người.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345885/Kind_pfoplb.png
Tính cách,Loyal,adj,/lɔɪəl/,zhōng chéng,Trung thành,Dogs are loyal animals.,Chó là loài động vật trung thành.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345893/Loyal_p5buvj.png
Tính cách,Modest,adj,/ˈmɒd.ɪst/,qiān xū,Khiêm tốn,He is modest about his success.,Anh ấy khiêm tốn về thành công của mình.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345896/Modest_gmbvgh.png
Tính cách,Nasty,adj,/ˈnæsti/,huài,Khó chịu,That was a nasty comment.,Đó là một lời nhận xét khó chịu.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345898/Nasty_qgopr2.png
Tính cách,Shy,adj,/ʃaɪ/,hài xiū,Nhút nhát,The girl is too shy to speak.,Cô gái quá nhút nhát để nói chuyện.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345925/Shy_c7dg2b.png
Tính cách,Sociable,adj,/ˈsoʊʃəbəl/,shàn yú jiāo jì,Hòa đồng,He’s sociable and makes friends easily.,Anh ấy hòa đồng và dễ kết bạn.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345936/Sociable_mmnqai.png
Tính cách,Reserved,adj,/ˈθɔːt.fəl/,nèi xiàng,"Rụt rè, dè dặt",She is quiet and reserved.,Cô ấy trầm lặng và kín đáo.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345913/Reserved_kiaqcu.png
Tính cách,Confident,adj,/ˈkɑnfədənt/,zì xìn,Tự tin,He is confident in front of people.,Anh ấy tự tin trước đám đông.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345860/Confident_iy9khi.png
Tính cách,Pleasant,adj,/ˈplɛzənt/,yú kuài,"Lịch sự, hòa nhã",She always has a pleasant smile.,Cô ấy luôn có nụ cười dễ mến.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345904/Pleasant_ucls0t.png
Tính cách,Clever,adj,/ˈklɛvər/,cōng míng,Thông minh,The clever student solved the problem fast.,Học sinh thông minh giải bài rất nhanh.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345858/Clever_evyux2.png
Tính cách,Thoughtful,adj,/ˈθɔːt.fəl/,zhōu dào,"Ân cần, chu đáo",He is thoughtful and cares for others.,Anh ấy chu đáo và biết quan tâm người khác.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345945/Thoughtful_s2n2v6.png
Tính cách,Proud,adj,/praʊd/,jiāo ào,Tự trọng,She feels proud of her daughter.,Cô ấy tự hào về con gái mình.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345907/Proud_shviib.png
Tính cách,Lazy,adj,/ˈleɪzi/,lǎn duò,Lười biếng,He’s too lazy to do homework.,Anh ấy quá lười để làm bài tập.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345888/Lazy_q7qmax.png
Tính cách,Crazy,adj,/ˈkreɪzi/,fēng kuáng,Ngu ngốc,That’s a crazy idea!,Đó là một ý tưởng điên rồ!,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345865/Crazy_fdzkhf.png
Tính cách,Silly,adj,/ˈsɪli/,yú chǔn,Ngốc nghếch,"Don’t be silly, it’s just a joke.","Đừng ngốc nghếch, đó chỉ là trò đùa thôi.",https://res.cloudinary.com/djtpwtahg/image/upload/v1759345928/Silly_ygdkaw.png
Tính cách,Bossy,adj,/ˈbɒs.i/,bā bāo zǔ zhǐ,Hống hách,She is bossy with her classmates.,Cô ấy hay ra lệnh cho bạn cùng lớp.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345856/Bossy_zxjpxr.png
Tính cách,Gossip,n,/ˈɡɒs.ɪp/,bā guà,Người mách lẻo,They like to gossip about others.,Họ thích buôn chuyện về người khác.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345872/Gossip_eq5fil.png
Tính cách,Extrovert,n,/ˈɛk.strə.vɜːt/,wài xiàng,Người hướng ngoại,He’s an extrovert and enjoys parties.,Anh ấy là người hướng ngoại và thích tiệc tùng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345867/Extrovert_datnaw.png
Tính cách,Coward,n,/kaʊərd/,dǎn xiǎo guǐ,Người nhát gan,"Don’t be a coward, just tell the truth.","Đừng hèn nhát, hãy nói thật đi.",https://res.cloudinary.com/djtpwtahg/image/upload/v1759345863/Coward_xzrpoo.png
Tính cách,Big-head,n,/ˈbɪɡ hɛd/,ài zì mào,Người tự cao,He’s such a big-head after winning.,Anh ta kiêu căng sau khi chiến thắng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345853/Big-head_p22c8l.png
Tính cách,Snob,n,/snɒb/,yǎn gāo shǒu dī,Người hợm hĩnh,She acts like a snob.,Cô ấy cư xử như một kẻ trưởng giả.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345933/Snob_eonha3.png
Tính cách,Liar,n,/laɪər/,shuō huǎng zhě,Người nói dối,Nobody trusts a liar.,Không ai tin một kẻ nói dối.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345890/Liar_rxrz5s.png
Tính cách,Ambitious,adj,/æmˈbɪʃəs/,yǒu xióng xīn,Tham vọng,She is ambitious and works hard.,Cô ấy có tham vọng và làm việc chăm chỉ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345849/Ambitious_rdta1f.png
Tính cách,Introvert,n,/ˈɪn.trə.vɜːt/,nèi xiàng,Người hướng nội,He’s an introvert who loves quiet time.,"Anh ấy là người hướng nội, thích sự yên tĩnh.",https://res.cloudinary.com/djtpwtahg/image/upload/v1759345883/Introvert_fstc1f.png
Tính cách,Stingy,adj,/ˈstɪnʤi/,xiǎo qì,Keo kiệt,"Don’t be stingy, buy her a gift.","Đừng keo kiệt, hãy mua quà cho cô ấy đi.",https://res.cloudinary.com/djtpwtahg/image/upload/v1759345940/Stingy_dkombw.png
Tính cách,Arrogant,adj,/ˈær.ə.ɡənt/,ào màn,Kiêu căng,He sounds arrogant when he talks.,Anh ấy nghe có vẻ kiêu ngạo khi nói chuyện.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345851/Arrogant_hp9cod.png
Tính cách,Vain,adj,/veɪn/,xū róng,Tự phụ,She’s too vain about her looks.,Cô ấy quá tự phụ về ngoại hình.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345948/Vain_nmzgsy.png
Tính cách,Absent-minded,adj,/ˌæb.sənt ˈmaɪn.dɪd/,xīn bù zài yān,Đãng trí,My father is sometimes absent-minded.,Ba tôi đôi khi đãng trí.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345847/Absent-minded_xadjb5.png
Tính cách,Hostile,adj,/ˈhɒs.təl/,dí duì,Thù địch,He was hostile to the new idea.,Anh ấy tỏ ra thù địch với ý tưởng mới.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345877/Hostile_vmk921.png
Đồ uống,Juice,n,/dʒuːs/,guǒ zhī,Nước ép,I drink orange juice every morning.,Tôi uống nước cam mỗi sáng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346021/Juice_zi3zbz.png
Đồ uống,Lemonade,n,/ˌlɛm.əˈneɪd/,níng méng shuǐ,Nước chanh,She makes fresh lemonade at home.,Cô ấy làm nước chanh tươi tại nhà.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346024/Lemonade_qwv9i0.png
Đồ uống,Beer,n,/bɪr/,pí jiǔ,Bia,He orders a glass of beer.,Anh ấy gọi một ly bia.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345999/Beer_lduxjo.png
Đồ uống,Soda,n,/ˈsoʊdə/,qì shuǐ,Sô-đa,I like cold soda with ice.,Tôi thích nước ngọt có đá lạnh.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346043/Soda_lgkk7i.png
Đồ uống,Cider,n,/ˈsaɪdər/,píng guǒ jiǔ,Rượu táo,They produce apple cider in France.,Họ sản xuất rượu táo lên men ở Pháp.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346006/Cider_a9bkge.png
Đồ uống,Rum,n,/rʌm/,gāng jiǔ,Rượu rum,He mixes rum with cola.,Anh ấy pha rượu rum với nước ngọt.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346040/Rum_pmzq5o.png
Đồ uống,Ginger ale,n. phr,/ˈʤɪnʤər eɪl/,jiāng shuǐ,Nước gừng,Ginger ale helps with an upset stomach.,Nước gừng giúp giảm đau bụng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346016/Ginger-ale_t6ewgt.png
Đồ uống,Champagne,n,/ʃæmˈpeɪn/,xiāng bīn,Rượu sâm panh,They open a bottle of champagne to celebrate.,Họ mở một chai sâm panh để ăn mừng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346004/Champagne_s9mubb.png
Đồ uống,Bitter,adj,/ˈbɪtər/,kǔ pí jiǔ,Đắng,This drink tastes a bit bitter.,Thức uống này có vị hơi đắng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346001/Bitter_ofyvaw.png
Đồ uống,Malt,n,/mɔːlt/,mài yá,Mạch nha,Malt is used to make beer.,Mạch nha được dùng để làm bia.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346027/Malt_nsjvfb.png
Đồ uống,Barley,n,/ˈbɑːr.li/,dà mài,Lúa mạch,Barley is an important grain for brewing.,Lúa mạch là loại ngũ cốc quan trọng để nấu bia.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759345996/Barley_b28iwo.png
Đồ uống,Distillery,n,/dɪˈstɪləri/,jiǔ chǎng,Nhà máy rượu,The distillery makes high-quality whiskey.,Nhà máy chưng cất sản xuất rượu whisky chất lượng cao.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346011/Distillery_mnpfhi.png
Đồ uống,Coffee,n,/ˈkɔː.fi/,kā fēi,Cà phê,I can’t start my day without coffee.,Tôi không thể bắt đầu ngày mới nếu thiếu cà phê.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346009/Coffee_zszsot.png
Đồ uống,Milk,n,/mɪlk/,niú nǎi,Sữa,She drinks a glass of milk before bed.,Cô ấy uống một ly sữa trước khi ngủ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346029/Milk_rblrx4.png
Đồ uống,Tea,n,/tiː/,chá,Trà,Let’s have a cup of tea together.,Hãy cùng uống một tách trà nhé.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346046/Tea_lbto7t.png
Đồ uống,Red wine,n. phr,/rɛd waɪn/,hóng jiǔ,Rượu vang đỏ,Red wine goes well with meat.,Rượu vang đỏ rất hợp với thịt.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346037/Red-wine_dcvxrk.png
Đồ uống,Non-alcoholic,adj,/ˌnɑːn ˌæl.kəˈhɒl.ɪk/,wú jiǔ jīng,Không cồn,This is a non-alcoholic drink.,Đây là đồ uống không cồn.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346034/Non-alcoholic_kgioa3.png
Đồ uống,Full-cream,adj,/ˌfʊl ˈkriːm/,quán zhī niú nǎi,Nguyên kem,I prefer full-cream milk in my coffee.,Tôi thích sữa nguyên kem trong cà phê của mình.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346014/Full-cream_c4ioys.png
Đồ uống,Herbal,adj,/ˈhɜːr.bəl/,cǎo yào,(chứa) thảo mộc,She drinks herbal tea to relax.,Cô ấy uống trà thảo mộc để thư giãn.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346019/Herbal_ewxp6r.png
Đồ uống,Mineral water,n. phr,/ˈmɪn.ər.əl ˈwɔː.tər/,kuàng quán shuǐ,Nước khoáng,I always carry a bottle of mineral water.,Tôi luôn mang theo một chai nước khoáng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346032/Mineral-water_z0y1u8.png
Các loài hoa,Lotus,n,/ˈloʊtəs/,lián huā,Hoa sen,The lotus is the national flower of Vietnam.,Hoa sen là quốc hoa của Việt Nam.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346130/Lotus_jp3vtt.png
Các loài hoa,Lily,adv,/ˈlɪli/,bǎi hé huā,Hoa loa kèn,The lily smells sweet and fresh.,Hoa huệ có mùi thơm ngọt ngào và tươi mát.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346127/Lily_avwjlo.png
Các loài hoa,Poppy,n,/ˈpɒp.i/,yīng sù huā,Hoa anh túc,The poppy blooms in early summer.,Hoa anh túc nở vào đầu mùa hè.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346144/Poppy_miglqw.png
Các loài hoa,Bougainvillea,n,/ˌbuː.ɡənˈvɪl.i.ə/,jiǎ jiāo huā,Hoa giấy,Bougainvillea grows well in the sunshine.,Hoa giấy phát triển tốt dưới ánh nắng.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346106/Bougainvillea_wngkm9.png
Các loài hoa,Gerbera flower,n,/ˈɡɜːr.bər.ə ˈflaʊ.ər/,zhēn zhū jú,Hoa đồng tiền,Gerbera flowers come in many colors.,Hoa đồng tiền có nhiều màu sắc khác nhau.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346119/Gerbera-flower_xk76qc.png
Các loài hoa,Tuberose,n,/ˈtuː.bəˌroʊz/,yè lái xiāng,Hoa huệ,Tuberose is used to make perfume.,Hoa huệ tây được dùng để làm nước hoa.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346153/Tuberose_h1fhnh.png
Các loài hoa,Apricot blossom,n. phr,/ˈeɪ.prɪ.kɒt ˈblɒs.əm/,xìng huā,Hoa mai,Apricot blossoms bloom during Tet.,Hoa mai nở vào dịp Tết.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346103/Apricot-blossom_bqxrvg.png
Các loài hoa,Dahlia,n,/ˈdeɪ.li.ə/,dà lí huā,Hoa thược dược,The dahlia has large and colorful petals.,Hoa thược dược có cánh to và nhiều màu sắc.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346113/Dahlia_gfw1ct.png
Các loài hoa,Jasmine,n,/ˈʤæzmɪn/,mò lì huā,Hoa lài,Jasmine has a gentle fragrance.,Hoa nhài có mùi hương dịu nhẹ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346125/Jasmine_bmmmx7.png
Các loài hoa,Sunflower,n,/ˈsʌnˌflaʊ.ər/,xiàng rì kuí,Hoa hướng dương,The sunflower always faces the sun.,Hoa hướng dương luôn hướng về phía mặt trời.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346150/Sunflower_afmxbs.png
Các loài hoa,Marigold,n,/ˈmær.ɪˌɡoʊld/,wàn shòu jú,Hoa cúc vạn thọ,Marigolds are bright and cheerful.,Hoa vạn thọ tươi sáng và rực rỡ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346133/Marigold_naycal.png
Các loài hoa,Orchid,n,/ˈɔːr.kɪd/,lán huā,Hoa lan,Orchids are elegant and beautiful.,Hoa lan thanh tao và xinh đẹp.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346135/Orchid_k2nhe6.png
Các loài hoa,Rose,n,/roʊz/,méi guī huā,Hoa hồng,The rose is a symbol of love.,Hoa hồng là biểu tượng của tình yêu.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346147/Rose_lhmajj.png
Các loài hoa,Carnation,n,/kɑːrˈneɪ.ʃən/,kàng nài xīn,Hoa cẩm chướng,Carnations are popular on Mother’s Day.,Hoa cẩm chướng phổ biến vào Ngày của Mẹ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346108/Carnation_togaha.png
Các loài hoa,Cherry blossom,n. phr,/ˈtʃɛr.i ˈblɒs.əm/,yīng huā,Hoa anh đào,Cherry blossoms bloom in spring.,Hoa anh đào nở vào mùa xuân.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346111/Cherry-blossom_zv5bul.png
Các loài hoa,Poinsettia,n,/ˌpɔɪnˈsɛˌtiə/,shèng dàn hóng,Hoa trạng nguyên,Poinsettias are used for Christmas decorations.,Hoa trạng nguyên được dùng để trang trí Giáng Sinh.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346141/Poinsettia_jygxwz.png
Các loài hoa,Flamboyant,n,/flæmˈbɔɪənt/,fèng huáng huā,Hoa phượng,Flamboyant trees bloom in summer.,Cây phượng nở hoa vào mùa hè.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346116/Flamboyant_fkkyzu.png
Các loài hoa,Hibiscus,n,/hɪˈbɪs.kəs/,fú róng huā,Hoa dâm bụt,Hibiscus tea has a bright red color.,Trà hibiscus có màu đỏ tươi.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346121/Hibiscus_bsfpjk.png
Các loài hoa,Peach blossom,n. phr,/piːtʃ ˈblɒs.əm/,táo huā,Hoa đào,Peach blossoms are pink and lovely.,Hoa đào có màu hồng và rất đẹp.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346138/Peach-blossom_mg0aq6.png
Phim ảnh,Movie,n,/ˈmuː.vi/,diàn yǐng,Phim,We watched a movie last night.,Chúng tôi đã xem một bộ phim tối qua.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346227/Movie_r5meh3.png
Phim ảnh,Famous,adj,/ˈfeɪməs/,yǒu míng,Nổi tiếng,He is a famous actor in Hollywood.,Anh ấy là một diễn viên nổi tiếng ở Hollywood.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346221/Famous_bkfjhd.png
Phim ảnh,Comedy,n,/ˈkɑmədi/,xǐ jù,Hài kịch,I love watching comedy movies.,Tôi thích xem phim hài.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346213/Comedy_bc8gpa.png
Phim ảnh,Audience,n,/ˈɔː.di.əns/,guān zhòng,Khán giả,The audience laughed loudly.,Khán giả cười lớn.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346204/Audience_hdkp0k.png
Phim ảnh,Film Festival,n. phr,/fɪlm ˈfɛstɪvəl/,diàn yǐng jié,Liên hoan phim,The film festival takes place every year.,Liên hoan phim được tổ chức hàng năm.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346224/Film-Festival_qkcqnk.png
Phim ảnh,Trailer,n,/ˈtreɪlər/,yù gào piàn,Đoạn phim quảng cáo,Have you seen the new trailer yet?,Bạn đã xem trailer mới chưa?,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346251/Trailer_q7jggc.png
Phim ảnh,Movie star,n. phr,/ˈmuː.vi stɑːr/,diàn yǐng míng xīng,Ngôi sao điện ảnh,She dreams of becoming a movie star.,Cô ấy mơ trở thành ngôi sao điện ảnh.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346230/Movie-star_yo5uxe.png
Phim ảnh,Soundtrack,n,/ˈsaʊnˌtræk/,yīn yuè dài,Nhạc phim,The soundtrack of this film is amazing.,Nhạc phim của bộ này thật tuyệt vời.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346245/Soundtrack_dbqsah.png
Phim ảnh,Cartoon,n,/kɑːrˈtuːn/,dòng huà piàn,Phim hoạt hình,My kids enjoy watching cartoons.,Bọn trẻ thích xem phim hoạt hình.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346207/Cartoon-network_aeujld.png
Phim ảnh,Drama,n,/ˈdrɑː.mə/,jù qíng piàn,Vở kịch,That drama made me cry.,Bộ phim truyền hình đó khiến tôi khóc.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346219/Drama_jxcdfa.png
Phim ảnh,Action film,n. phr,/ˈækʃən fɪlm/,dòng zuò piàn,Phim hành động,He loves action films with explosions.,Anh ấy thích phim hành động có nhiều cảnh nổ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346196/Action-film_pyyagw.png
Phim ảnh,Celebrity,n,/səˈlɛbrɪti/,míng rén,Người nổi tiếng,The celebrity arrived at the red carpet.,Người nổi tiếng xuất hiện trên thảm đỏ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346210/Celebrity_gr8rrz.png
Phim ảnh,Script,n,/skrɪpt/,jù běn,Kịch bản,The writer finished the movie script.,Biên kịch đã hoàn thành kịch bản phim.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346239/Script_gayeob.png
Phim ảnh,Theater,n,/ˈθiː.ə.tər/,jù yuàn,Nhà hát,We went to the theater to see a play.,Chúng tôi đi nhà hát xem vở kịch.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346248/Theater_vm1ln4.png
Phim ảnh,Actor,n,/ˈæktər/,nán yǎn yuán,Nam diễn viên,The actor won an award for his role.,Nam diễn viên đã giành giải cho vai diễn của mình.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346199/Actor_ggqybz.png
Phim ảnh,Actress,n,/ˈæk.trɪs/,nǚ yǎn yuán,Nữ diễn viên,The actress looked stunning on stage.,Nữ diễn viên trông lộng lẫy trên sân khấu.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346202/Actress_uni86e.png
Phim ảnh,Director,n,/dɪˈrɛktər/,dǎo yǎn,Đạo diễn,The director is working on a new film.,Đạo diễn đang thực hiện một bộ phim mới.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346216/Director_cdkhyr.png
Phim ảnh,Romantic,adj,/roʊˈmæntɪk/,làng màn,Lãng mạn,She enjoys romantic movies.,Cô ấy thích những bộ phim lãng mạn.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346236/Romantic_lksiin.png
Phim ảnh,Silent film,n. phr,/ˈsaɪlənt fɪlm/,mò piàn,Phim câm,A silent film has no dialogue.,Phim câm không có lời thoại.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346242/Silent-film_dsbeta.png
Phim ảnh,Movie ticket,n. phr,/ˈmuː.vi ˈtɪk.ɪt/,diàn yǐng piào,Vé xem phim,I bought two movie tickets for tonight.,Tôi đã mua hai vé xem phim cho tối nay.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346233/Movie-ticket_aevywh.png
Bóng đá,Stadium,n,/ˈsteɪdiəm/,tǐ yù chǎng,Sân vận động,The stadium is full of fans.,Sân vận động chật kín người hâm mộ.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346390/Stadium_w3ilst.png
Bóng đá,Stand,n,/stænd/,guān zhòng xí,Khán đài,We sat in the upper stand.,Chúng tôi ngồi ở khán đài trên.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346393/Stand_j5uvzl.png
Bóng đá,Pitch,n,/pɪʧ/,qiú chǎng,Sân,The pitch is wet after the rain.,Sân bóng bị ướt sau cơn mưa.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346373/Pitch_y2gonm.png
Bóng đá,Touchline,n,/ˈtʌtʃ.laɪn/,biān xiàn,Đường biên,The ball went over the touchline.,Quả bóng đã ra ngoài đường biên.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346415/Touchline_x5urqn.png
Bóng đá,Penalty area,n. phr,/ˈpɛnəlti ˈɛriə/,fá qiú qū,Khu phạt đền,The striker runs into the penalty area.,Tiền đạo chạy vào khu vực cấm địa.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346369/Penalty-area_z6kd2s.png
Bóng đá,Goal,n,/goʊl/,jìn qiú / qiú mén,Khung thành,He scored a goal in the first half.,Anh ấy ghi bàn trong hiệp một.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346337/Goal_vpgcck.png
Bóng đá,Penalty,n,/ˈpɛnəlti/,fá qiú,Phạt đền,The referee gives a penalty kick.,Trọng tài cho đá phạt đền.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346366/Penalty_bo7tta.png
Bóng đá,Corner kick,n. phr,/ˈkɔːr.nər kɪk/,jiǎo qiú,Cú đá phạt góc,He takes a corner kick from the left.,Anh ấy thực hiện quả phạt góc từ bên trái.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346322/Corner-kick_wgz9q9.png
Bóng đá,Free kick,n. phr,/ˌfriː ˈkɪk/,rén yì qiú,Đá phạt trực tiếp,The team gets a free kick.,Đội được hưởng một quả đá phạt.,https://res.cloudinary.com/djtpwtahg/image/upload/v1759346331/Free-kick_1_g0mhow.png
